logicalEventKey,headSha,predictionCreatedAt,planMode,testsSelectedDiffci,testsTotalFull,recordedRunId,recordedRunPath,recordedConclusion,contaminationReason,evidenceRunsForHead,retroVerdict,retroEvidenceRunId,retroEvidenceConclusion,retroEvidenceCreatedAt,retroEvidenceCompletedAt,predictionPrecededRetroEvidence,predictionPrecededRetroEvidenceStart
adityankale190895/DiffCI.com:4dcefefe5b523637edc96e8c2365ec6822f79b10:33363390392:1,4dcefefe5b523637edc96e8c2365ec6822f79b10,2026-08-31T06:14:41.572Z,SELECTIVE,1,174,33363390392,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33363390383,success,2026-08-31T06:14:26Z,2026-08-31T09:45:50Z,true,false
adityankale190895/DiffCI.com:e4cdc14d96cf9292d601f743f7de8adbf34ef2a2:33364634785:1,e4cdc14d96cf9292d601f743f7de8adbf34ef2a2,2026-08-31T06:33:07.343Z,SELECTIVE,0,174,33364634785,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33364634857,success,2026-08-31T06:32:50Z,2026-08-31T09:46:11Z,true,false
adityankale190895/DiffCI.com:f46c78375f4ddc92296ba3598bd917a4f77aad15:33366239047:1,f46c78375f4ddc92296ba3598bd917a4f77aad15,2026-08-31T06:56:59.360Z,SELECTIVE,0,174,33366239047,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33366239049,success,2026-08-31T06:56:44Z,2026-08-31T09:58:24Z,true,false
adityankale190895/DiffCI.com:2c9063f3a590523e8c676befa786324670fe4c14:33366526252:1,2c9063f3a590523e8c676befa786324670fe4c14,2026-08-31T07:01:11.203Z,FULL,174,174,33366526252,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33366526247,success,2026-08-31T07:00:56Z,2026-08-31T10:06:18Z,true,false
adityankale190895/DiffCI.com:6590e0c58673ef9849b26b8a44be86ba991e25e6:33366974496:1,6590e0c58673ef9849b26b8a44be86ba991e25e6,2026-08-31T07:07:27.334Z,FULL,174,174,33366974496,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33366974463,success,2026-08-31T07:07:11Z,2026-08-31T10:06:04Z,true,false
adityankale190895/DiffCI.com:07bc3d1ca35623a0f76bf2c459ae5c9408808df0:33367362936:1,07bc3d1ca35623a0f76bf2c459ae5c9408808df0,2026-08-31T07:12:53.413Z,SELECTIVE,0,174,33367362936,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33367362934,success,2026-08-31T07:12:36Z,2026-08-31T10:37:02Z,true,false
adityankale190895/DiffCI.com:84dd44e1cf353707ee469079491f8b8e11b8d316:33372223301:1,84dd44e1cf353707ee469079491f8b8e11b8d316,2026-08-31T08:17:50.264Z,SELECTIVE,0,175,33372223301,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33372223311,success,2026-08-31T08:17:35Z,2026-08-31T12:42:12Z,true,false
adityankale190895/DiffCI.com:ccd743e1b88c640d8a42a091a1889ba66cd927d9:33375351099:1,ccd743e1b88c640d8a42a091a1889ba66cd927d9,2026-08-31T08:58:06.073Z,SELECTIVE,0,175,33375351099,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33375351076,success,2026-08-31T08:57:50Z,2026-08-31T12:44:20Z,true,false
adityankale190895/DiffCI.com:89fc23615d7879e50299f80b2a0298b96b16e66c:33375813602:1,89fc23615d7879e50299f80b2a0298b96b16e66c,2026-08-31T09:04:01.646Z,SELECTIVE,0,175,33375813602,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33375813586,success,2026-08-31T09:03:45Z,2026-08-31T13:21:39Z,true,false
adityankale190895/DiffCI.com:5fb0183214be6bbffaa9f2455a331e489c1407d7:33377950663:1,5fb0183214be6bbffaa9f2455a331e489c1407d7,2026-08-31T09:30:06.272Z,SELECTIVE,43,176,33377950663,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33377950847,success,2026-08-31T09:29:48Z,2026-08-31T13:24:32Z,true,false
adityankale190895/DiffCI.com:0beb661188732af9e7cec0509a78adc920710828:33379029537:1,0beb661188732af9e7cec0509a78adc920710828,2026-08-31T09:43:04.814Z,FULL,177,177,33379029537,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33379029458,success,2026-08-31T09:42:49Z,2026-08-31T13:38:09Z,true,false
adityankale190895/DiffCI.com:9ded4bbd3b4fc3acae9ef434a08737bceaff08ac:33379941142:1,9ded4bbd3b4fc3acae9ef434a08737bceaff08ac,2026-08-31T09:54:38.374Z,SELECTIVE,0,177,33379941142,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33379941147,success,2026-08-31T09:54:22Z,2026-08-31T13:46:08Z,true,false
adityankale190895/DiffCI.com:7d8e213c6adfdf38221d7acd8afa41be4d8dde54:33392767929:1,7d8e213c6adfdf38221d7acd8afa41be4d8dde54,2026-08-31T13:39:04.152Z,FULL,178,178,33392767929,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33392767930,success,2026-08-31T12:38:26Z,2026-09-01T03:13:14Z,true,false
adityankale190895/DiffCI.com:648958ed2f822faf27811b12bf339a74565fa083:33397320375:1,648958ed2f822faf27811b12bf339a74565fa083,2026-08-31T13:39:08.264Z,SELECTIVE,3,178,33397320375,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,2,EVIDENCE_EXECUTED,33397319879,success,2026-08-31T13:30:14Z,2026-09-01T03:45:05Z,true,false
adityankale190895/DiffCI.com:0f6ea3f6f70d22136c15778fccfda254cdab4cf8:33406470304:1,0f6ea3f6f70d22136c15778fccfda254cdab4cf8,2026-08-31T15:11:49.828Z,SELECTIVE,0,179,33406470304,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33406470520,success,2026-08-31T15:05:54Z,2026-09-01T05:15:45Z,true,false
adityankale190895/DiffCI.com:209c56b45c70638f7d2f7fb2c040f285803664ce:33406873300:1,209c56b45c70638f7d2f7fb2c040f285803664ce,2026-08-31T15:11:52.467Z,SELECTIVE,0,179,33406873300,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33406873339,success,2026-08-31T15:10:05Z,2026-09-01T05:23:53Z,true,false
adityankale190895/DiffCI.com:059a5612223f70652bdd2ca4b0998b9b82e116aa:33407007167:1,059a5612223f70652bdd2ca4b0998b9b82e116aa,2026-08-31T15:11:53.782Z,SELECTIVE,0,179,33407007167,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33407007225,success,2026-08-31T15:11:28Z,2026-09-01T06:35:37Z,true,false
adityankale190895/DiffCI.com:d151f764c2c60fa73564ea82d24d6b41a145fcfe:33407201561:1,d151f764c2c60fa73564ea82d24d6b41a145fcfe,2026-09-01T03:12:47.854Z,SELECTIVE,0,179,33407201561,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33407201509,success,2026-08-31T15:13:28Z,2026-09-01T06:44:25Z,true,false
